ModulusName,ModulusID

test80,98834976202698839303077
test100,410082333130306064848248112591
test120,105424524626638150052140323242200343
test140,45319868827794527371331674843886952588281
test160,368885247776930520818119416349538289444373190953
test180,817647456309020395072646021766285397615408588070089049
test200,475736781468584142860558801413519229596593476345036008040593
tricky1,58287130162018717115894883690626993265681465069289827126826807559318142751771499195697880859122243219388083950173834004284883928655363952353044400056981491049905887285181664311787140437370046667276399214525254861205916437634583075489756047225865860452266357671042767274691637127559448998320140196200796161887
tricky2,44823340001134646725215287284882501479971162747655312474344195491841621439454012870908997074594908656835436716399848026553605085401889315409018740249527539522367772100014131585967074633456150783820782832110200062925034142234431854800755901388394761775501642493746523598583689888382215414386425444410018014903
tricky3,16163539281320744315171269616742395520744304400587166659377979228736312913575261779241514389163984286910444417652676641519489681932501410505816300557161094027146711937922886306245911261677681346281229840252306331329218093702680267397539085739595910542456451860764685202846820082490721685704336924217468941841
tricky4,56209596429710520352479532071363737767233798437107688000246030657551507032250497170041548515975785265052766737721766135153840147878380629339161063369195354848709756421260864228054014900275509792955771190568707206083130847562837153109420205935284217970202488210961797878241055607555055039000334829695792779817
